SKU,CATEGORY,Producer_Name,Product_Name,Vintage,Volume_Amount,Volume_Unit,Pack_Size,Sleeve_Size,Container,FOB,FOB_SS,FOB_CD,FOB_XC,Country,Region/State,Appelation,Grapes,ABV,Keg Coupler,UPC/EAN,COLA,Weight,Cases_Per_Layer,Cases_Per_Pallet,Notes,Status,Score
ZRS-006,Spirits,Petunia,Mezcal,,1,L,12,,,$300 ,,,,Mexico,,,,,,,,,14,56,,,
LPSE141,Wine,Château La Peyre,"Saint-Estèphe ""Cru Artisan""",2014,750,ml,12,,,$432.60 ,,,,France,Bordeaux,,,,,,,,,,,,
700-11-049-2021,Wine,BorgosanDaniele,Malvasia Isonzo DOC,2021,750,ml,12,,,$171 ,$171 ,$165 ,$153 ,Italy,Friuli,,Malvasia,,,8.12E+11,,37,7,56,,,
